DATE;GROUP;TYPE;PLAYER NAME;PLAYER TEAM;HOME TEAM;AWAY TEAM;GAME ID;GAME LINK
2025-09-16;U15P Blå Grupp  1;ASSIST;William Damm;Vallentuna Hockey;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;ASSIST;William Damm;Vallentuna Hockey;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;GOAL;Viktor Ljungmark;Vallentuna Hockey;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;GOAL;Maksim Mirkovic;Vallentuna Hockey;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;ASSIST;Herman Westlinder;Vallentuna Hockey;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;GOAL;Frans Engblom;Vallentuna Hockey;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;PIM 2;Herman Westlinder;VHF;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;PIM 2;William Damm;VHF;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;ASSIST;Leo Lindqvist;Sollentuna HC;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;ASSIST;Philip Segerbrant;Sollentuna HC;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;ASSIST;Neo Huang;Sollentuna HC;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;GOAL;Morgan Hagbard;Sollentuna HC;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-16;U15P Blå Grupp  1;GOAL;Morgan Hagbard;Sollentuna HC;Sollentuna HC;Vallentuna Hockey;1017057;https://stats.swehockey.se/Game/Events/1017057
2025-09-17;U15P Blå Grupp  1;GOAL;Noel Biberg;Värmdö HC;Södertälje SK;Värmdö HC;1017059;https://stats.swehockey.se/Game/Events/1017059
2025-09-17;U15P Blå Grupp  1;ASSIST;Nils Sarvik;Värmdö HC;Södertälje SK;Värmdö HC;1017059;https://stats.swehockey.se/Game/Events/1017059
2025-09-17;U15P Blå Grupp  1;ASSIST;Nils Sarvik;Värmdö HC;Södertälje SK;Värmdö HC;1017059;https://stats.swehockey.se/Game/Events/1017059
2025-09-17;U15P Blå Grupp  1;ASSIST;Sander Toftling;Värmdö HC;Södertälje SK;Värmdö HC;1017059;https://stats.swehockey.se/Game/Events/1017059
2025-09-17;U15P Blå Grupp  1;PIM 2;Sander Toftling;Värmdö HC;Södertälje SK;Värmdö HC;1017059;https://stats.swehockey.se/Game/Events/1017059
2025-09-17;U15P Blå Grupp  1;GOAL;Sander Toftling;Värmdö HC;Södertälje SK;Värmdö HC;1017059;https://stats.swehockey.se/Game/Events/1017059
2025-09-17;U15P Blå Grupp  1;PIM 2;Gustav Nordholm;SSK;Södertälje SK;Värmdö HC;1017059;https://stats.swehockey.se/Game/Events/1017059
2025-09-17;U15P Blå Grupp  1;PIM 2;Wincent Lengmo;SSK;Södertälje SK;Värmdö HC;1017059;https://stats.swehockey.se/Game/Events/1017059
2025-09-18;U15P Blå Grupp  1;ASSIST;Max Sjögren;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;ASSIST;Till Ritzinger;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;ASSIST;Cooper Lynch;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;GOAL;Cooper Lynch;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;GOAL;Cooper Lynch;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;ASSIST;Cooper Lynch;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;ASSIST;Cedrik Hasselhuhn;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;ASSIST;Cedrik Hasselhuhn;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;ASSIST;Filip Sjögren;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;GOAL;Filip Sjögren;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;GOAL;Filip Sjögren;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;GOAL;Noel Ekwall;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;GOAL;Hugo Berglund;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;GOAL;Hugo Berglund;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;ASSIST;Hugo Berglund;Boo HC;Boo HC;Brinkens IF;1017056;https://stats.swehockey.se/Game/Events/1017056
2025-09-18;U15P Blå Grupp  1;GOAL;Lucas Pawlowski;Järfälla HC;Järfälla HC;Djurgårdens IF;1017058;https://stats.swehockey.se/Game/Events/1017058
2025-09-18;U15P Blå Grupp  1;PIM 2;Oskar Gustafsson;Järfälla HC;Järfälla HC;Djurgårdens IF;1017058;https://stats.swehockey.se/Game/Events/1017058
2025-09-18;U15P Blå Grupp  1;GOAL;Max Ahlström;Järfälla HC;Järfälla HC;Djurgårdens IF;1017058;https://stats.swehockey.se/Game/Events/1017058
